Hysteresis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Executed Version,5.44.0,,,,,,
Vision Version,5.44.0 (R),,,,,,
Vision Compiled,2023-07-18 00:00:00,,,,,,
Driver Version,5.44.0,,,,,,
Windows Version,"Windows 8, 8.1 or 10",,,,,,
Processor Information,x86 (AMD or Intel) - 8 Processors,,,,,,
Tester Name,PPM20121-917 (10V),,,,,,
Tester S/N,PPM20121-917,,,,,,
Internal Amp Type,Internal TIB ,,,,,,
Internal Amp Serial,  iAB-TIB ,,,,,,
Execution Count,6669,,,,,,
Excel Date,10/18/2023 - 16:37:30,,,,,,
Configuration Date,2023-10-05 15:23:48,,,,,,
Execution Date,2023-10-08 17:50:24,,,,,,
,,,,,,,
Sample Info.,,,,,,,
Sample Name,Int. Ref. Ferroelectric,,,,,,
Lot Name,,,,,,,
Wafer Name,,,,,,,
Die Row/Column, 0/0,,,,,,
Capacitor ID,0,,,,,,
Area (cm2),0.000025,,,,,,
Thickness (µm),0.01,,,,,,
,,,,,,,
Amplifier,Internal,,,,,,
,,,,,,,
Tester Info,,,,,,,
Tester Name,PPM20121-917 (10V),,,,,,
Tester Serial Number,PPM20121-917,,,,,,
Return Signal Amp. Level [Index],0.2 [1],,,,,,
,,,,,,,
Hysteresis Info,,,,,,,
Task Name,Hyst-1,,,,,,
Max. Volts,2.5,,,,,,
Max. Field (kV/cm),2500,,,,,,
Max. DCBias,0,,,,,,
Max. DCField (kV/cm),0,,,,,,
Hysteresis Period (ms),0.01,,,,,,
Preset Enabled,,,,,,,
Preset Delay (ms),1000,,,,,,
Profile,Standard Bipolar,,,,,,
,,,,,,,
Data,,,,,,,
,Valid Data,,,,,,
Point,Time (ms),Drive Voltage,Measured Polarization (µC/cm2),Capacitance (µF),Normalized Capacitance (µF/cm2),Dielectric Constant,Instantaneous Current (mA)
1,0,0.074996948,-17.7558277,10.68964406,427585.7626,0.120849497,0.262078638
2,0.0001,0.348572882,-15.19812813,10.68964406,427585.7626,0.120849497,0.262078638
3,0.0002,0.404952154,-14.49092217,6.087158425,243486.337,0.068817074,0.149239224
4,0.0003,0.534224485,-13.85385653,8.611102163,344444.0865,0.097350983,0.211118903
5,0.0004,0.655830021,-13.42579409,7.274896655,290995.8662,0.082244796,0.178359073
6,0.0005,0.76631155,-11.78435111,8.165700327,326628.0131,0.092315588,0.200198959
7,0.0006,0.872656864,-11.55146606,8.462634884,338505.3954,0.095672518,0.207478922
8,0.0007,0.889791829,-10.27882543,7.868765769,314750.6308,0.088958657,0.192918997
9,0.0008,1.020439406,-10.07499349,8.90803672,356321.4688,0.100707914,0.218398865
10,0.0009,1.149777651,-9.117707363,10.24424223,409769.6891,0.115814101,0.251158694
11,0.001,1.25412987,-7.910133672,8.314167605,332566.7042,0.093994053,0.20383894
12,0.0011,1.350454273,-6.884913373,12.32278413,492911.3652,0.139312614,0.30211843
13,0.0012,1.403937054,-5.4692272,13.95592419,558236.9678,0.157775732,0.342158221
14,0.0013,1.500090594,-3.686509254,17.66760616,706704.2465,0.199737362,0.433157748
15,0.0014,1.611853334,-0.946968233,24.49710098,979884.0392,0.276946763,0.600596878
16,0.0015,1.743196385,2.193806693,32.06893219,1282757.288,0.36254849,0.786235913
17,0.0016,1.807606177,5.430691971,40.53156708,1621262.683,0.458221008,0.993714835
18,0.0017,1.941638018,10.36076179,47.06412734,1882565.094,0.532073478,1.153874002
19,0.0018,1.982713131,15.55580754,49.4396038,1977584.152,0.558928922,1.212113699
20,0.0019,2.123053386,20.16915641,49.73653835,1989461.534,0.562285852,1.219393661
21,0.002,2.229344681,25.51935438,48.99420196,1959768.078,0.553893526,1.201193756
22,0.0021,2.307481427,28.69695664,41.42237075,1656894.83,0.468291799,1.015554721
23,0.0022,2.41047432,33.12640969,42.61010898,1704404.359,0.481719521,1.04467457
24,0.0023,2.495736069,37.11373247,35.03827777,1401531.111,0.396117794,0.859035535
25,0.0024,2.58786987,39.62627171,27.61491383,1104596.553,0.312194533,0.677036481
26,0.0025,2.510403926,40.57623539,-9.947307671,-397892.3068,-0.11245717,0.243878732
27,0.0026,2.441904728,39.74654746,6.68102754,267241.1016,0.075530935,-0.163799149
28,0.0027,2.343714143,38.55353422,7.126429376,285057.175,0.080566331,-0.174719092
29,0.0028,2.29339586,38.17150014,7.126429376,285057.175,0.080566331,-0.174719092
30,0.0029,2.188713075,37.39053166,6.829494819,273179.7927,0.077209401,-0.16743913
31,0.003,2.068848349,36.69974406,9.947307671,397892.3068,0.11245717,-0.243878732
32,0.0031,1.995658642,35.75988278,7.868765769,314750.6308,0.088958657,-0.192918997
33,0.0032,1.880377582,35.04879315,9.798840392,391953.6157,0.110778705,-0.240238751
34,0.0033,1.751156826,33.76349665,9.501905835,380076.2334,0.107421775,-0.232958789
35,0.0034,1.681105355,33.16025764,8.165700327,326628.0131,0.092315588,-0.200198959
36,0.0035,1.519154004,32.4924812,10.54117679,421647.0714,0.119171031,-0.258438657
37,0.0036,1.510291439,31.00080031,8.611102163,344444.0865,0.097350983,-0.211118903
38,0.0037,1.330405777,29.89365234,10.24424223,409769.6891,0.115814101,-0.251158694
39,0.0038,1.236221384,30.04534139,7.868765769,314750.6308,0.088958657,-0.192918997
40,0.0039,1.179358187,28.50757887,10.39270951,415708.3803,0.117492566,-0.254798676
41,0.004,1.101680198,27.80835465,10.39270951,415708.3803,0.117492566,-0.254798676
42,0.0041,0.965399322,26.86652485,10.39270951,415708.3803,0.117492566,-0.254798676
43,0.0042,0.856855059,25.00834479,12.76818597,510727.4386,0.14434801,-0.313038373
44,0.0043,0.725488583,23.93972385,11.1350459,445401.836,0.125884892,-0.272998581
45,0.0044,0.692840279,23.07681661,12.02584957,481033.9829,0.135955684,-0.294838467
46,0.0045,0.595180694,21.48040921,12.91665324,516666.1298,0.146026475,-0.316678354
47,0.0046,0.504884425,20.505753,14.40132603,576053.0412,0.162811127,-0.353078165
48,0.0047,0.364413082,19.0698525,13.80745692,552298.2766,0.156097266,-0.33851824
49,0.0048,0.245566585,16.94486954,18.26147528,730459.011,0.206451223,-0.447717673
50,0.0049,0.158175509,15.73492634,19.00381167,760152.4668,0.214843549,-0.465917578
51,0.005,0.08660003,13.06896241,24.20016642,968006.6569,0.273589832,-0.593316916
52,0.0051,-0.003216655,10.58947575,26.4271756,1057087.024,0.298766811,-0.647916632
53,0.0052,-0.072392882,6.764342905,31.62353036,1264941.214,0.357513094,-0.77531597
54,0.0053,-0.258152603,3.233762144,38.45302518,1538121.007,0.434722495,-0.942755099
55,0.0054,-0.316605976,-1.581648885,47.80646373,1912258.549,0.540465804,-1.172073907
56,0.0055,-0.358245331,-6.349329668,51.5181457,2060725.828,0.582427435,-1.263073434
57,0.0056,-0.534522626,-11.91900867,55.22982766,2209193.107,0.624389066,-1.354072961
58,0.0057,-0.609333351,-16.16616692,48.99420196,1959768.078,0.553893526,-1.201193756
59,0.0058,-0.765852146,-20.24731584,38.3045579,1532182.316,0.433044029,-0.939115118
60,0.0059,-0.873002066,-22.58240843,22.2700918,890803.672,0.251769784,-0.545997162
61,0.006,-0.887143052,-23.64900075,11.72891501,469156.6006,0.132598753,-0.287558505
62,0.0061,-1.037710134,-24.50327931,10.39270951,415708.3803,0.117492566,-0.254798676
63,0.0062,-1.176754015,-25.81943228,11.1350459,445401.836,0.125884892,-0.272998581
